5182
124A09;4.614357000;-74.213219000
134A09;4.607513000;-74.203775000
575A09;4.611387000;-74.206410000
240A09;4.622311000;-74.204131000
141A09;4.608817000;-74.201374000
260A09;4.624084000;-74.198718000
269A09;4.628718000;-74.198975000
173A09;4.606130000;-74.195938000
194A09;4.610243000;-74.195855000
512A09;4.615135000;-74.197002000
202A09;4.612931000;-74.194603000
263A09;4.622351000;-74.196737000
162A09;4.598707000;-74.189372000
222A09;4.606221000;-74.190316000
067A09;4.620010000;-74.189332000
265A09;4.621778000;-74.193148000
280A09;4.627583000;-74.192151000
104A08;4.626248000;-74.191049000
103A08;4.626850000;-74.189299000
573A08;4.641788000;-74.191715000
226A09;4.605408000;-74.187917000
230A09;4.606872000;-74.186979000
259A08;4.621158000;-74.185956000
234A08;4.643051000;-74.188246000
296A10;4.591174000;-74.179304000
476A09;4.599929000;-74.182655000
046A09;4.598032000;-74.179315000
175A10;4.596161000;-74.178568000
081A08;4.633473000;-74.183023000
099A08;4.630391000;-74.181442000
478A11;4.573803000;-74.174633000
100A10;4.577047000;-74.176393000
105A10;4.576190000;-74.173907000
027A09;4.613639000;-74.173883000
253A08;4.618453000;-74.176037000
307A08;4.616860000;-74.175494000
331A08;4.622993000;-74.177658000
541A08;4.629882000;-74.177728000
212A08;4.634603000;-74.173891000
400A08;4.642148000;-74.174564000
399A08;4.641112000;-74.174083000
369A08;4.644780000;-74.177701000
475A11;4.573601000;-74.172666000
473A11;4.573266000;-74.170720000
104A10;4.577108000;-74.170632000
109A10;4.577120000;-74.169120000
189A10;4.584968000;-74.168749000
190A10;4.586492000;-74.168763000
181A10;4.591821000;-74.173391000
280A10;4.593104000;-74.169016000
318A09;4.606434000;-74.172641000
336A09;4.611221000;-74.173328000
340A09;4.611796000;-74.170597000
029A09;4.613433000;-74.170384000
342A08;4.620882000;-74.168875000
022A08;4.627691000;-74.172105000
211A08;4.628974000;-74.170889000
354A08;4.627175000;-74.170113000
033A08;4.625082000;-74.169202000
356A08;4.634611000;-74.170673000
360A08;4.634665000;-74.170416000
393A08;4.640181000;-74.172939000
303A08;4.649942000;-74.169707000
213A06;4.696273000;-74.169392000
123A11;4.549160000;-74.164134000
124A11;4.549123000;-74.163834000
179A11;4.567470000;-74.164986000
114A10;4.579377000;-74.167220000
066A10;4.583749000;-74.164311000
067A10;4.583625000;-74.164171000
204A10;4.589236000;-74.167390000
213A10;4.588697000;-74.164085000
055A09;4.596032000;-74.165191000
358A09;4.603741000;-74.166187000
378A09;4.613939000;-74.164188000
132A08;4.616088000;-74.167544000
216A06;4.697448000;-74.167241000
448A11;4.544214000;-74.160924000
129A11;4.549316000;-74.160323000
182A11;4.566548000;-74.163023000
215A10;4.587849000;-74.158984000
335A10;4.592104000;-74.161411000
219A10;4.591335000;-74.159853000
218A10;4.591450000;-74.159499000
064A09;4.597410000;-74.162035000
443A08;4.636911000;-74.162609000
460A08;4.642365000;-74.161009000
138A07;4.648917000;-74.158776000
347A07;4.649652000;-74.160815000
337A07;4.655138000;-74.159053000
101A06;4.692519000;-74.161674000
224A10;4.589696000;-74.153868000
231A10;4.592181000;-74.157607000
